Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","1991","1991","USD","6.823654","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","1992","1992","USD","7.239768","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","1993","1993","USD","6.745611","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","1994","1994","USD","3.40415","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","1995","1995","USD","3.816053","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","1996","1996","USD","3.763055","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","1997","1997","USD","3.43722","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","1998","1998","USD","1.18319","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","1999","1999","USD","0.942023","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","2000","2000","USD","0.775564","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","2001","2001","USD","0.721927","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","2002","2002","USD","0.849586","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","2003","2003","USD","0.994388","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","2004","2004","USD","2.44356","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","2005","2005","USD","3.88283","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","2006","2006","USD","5.433704","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","2007","2007","USD","7.670617","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","2008","2008","USD","10.305205","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","2009","2009","USD","11.893611","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","2010","2010","USD","11.64227","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","2011","2011","USD","12.606564","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","2012","2012","USD","14.730632","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","2013","2013","USD","18.814038","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","2014","2014","USD","20.329387","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","572","Avocados","2015","2015","USD","10.363777","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","486","Bananas","1991","1991","USD","26.798351","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","486","Bananas","1992","1992","USD","30.14827","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","486","Bananas","1993","1993","USD","29.664937","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","486","Bananas","1994","1994","USD","15.886033","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","486","Bananas","1995","1995","USD","17.789097","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","486","Bananas","1996","1996","USD","20.048326","Fc","Calculated data"
"QV","Value of Agricultural Production","46","Congo","57","Gross Production Value (current million US$)","486","Bananas","1997","1997","USD","17.890694","Fc","Calculated data"
