Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","1991","1991","USD","0.157831","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","1992","1992","USD","0.155912","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","1993","1993","USD","0.208619","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","1994","1994","USD","0.2167","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","1995","1995","USD","0.209436","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","1996","1996","USD","0.264677","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","1997","1997","USD","0.28477","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","1998","1998","USD","0.208949","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","1999","1999","USD","0.166064","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","2000","2000","USD","0.179998","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","2001","2001","USD","0.170181","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","2002","2002","USD","0.155408","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","2003","2003","USD","0.183233","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","2004","2004","USD","0.199709","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","2005","2005","USD","0.176478","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","2006","2006","USD","0.182892","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","2007","2007","USD","0.228401","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","2008","2008","USD","0.312079","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","2009","2009","USD","0.311405","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","2010","2010","USD","0.344449","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","2011","2011","USD","0.404824","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","2012","2012","USD","0.499104","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","2013","2013","USD","0.465477","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","2014","2014","USD","0.427991","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","2015","2015","USD","0.302967","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","221","Almonds, with shell","2016","2016","USD","0.221951","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","1991","1991","USD","4.546853","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","1992","1992","USD","5.256694","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","1993","1993","USD","5.234118","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","1994","1994","USD","5.202712","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","1995","1995","USD","4.132948","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","1996","1996","USD","3.808285","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","1997","1997","USD","3.489044","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","1998","1998","USD","3.510401","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","1999","1999","USD","3.641821","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","2000","2000","USD","3.482941","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","2001","2001","USD","3.24927","Fc","Calculated data"
"QV","Value of Agricultural Production","9","Argentina","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","2002","2002","USD","0.918789","Fc","Calculated data"
