Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","1991","1991","USD","14.434376","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","1992","1992","USD","13.535186","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","1993","1993","USD","10.717483","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","1994","1994","USD","9.332545","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","1995","1995","USD","12.668598","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","1996","1996","USD","16.262061","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","1997","1997","USD","17.025898","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","1998","1998","USD","14.714846","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","1999","1999","USD","16.054507","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","2000","2000","USD","11.985379","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","2001","2001","USD","14.489067","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","2002","2002","USD","16.230938","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","2003","2003","USD","17.400116","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","2004","2004","USD","20.535761","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","2005","2005","USD","21.90924","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","2006","2006","USD","25.520704","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","2007","2007","USD","33.960644","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","2008","2008","USD","45.251554","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","2009","2009","USD","58.91897","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","2010","2010","USD","101.029959","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","2011","2011","USD","247.002949","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","2012","2012","USD","129.42917","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","2013","2013","USD","159.625335","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","2014","2014","USD","165.039999","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","221","Almonds, with shell","2015","2015","USD","172.954193","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","1991","1991","USD","11.42129","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","1992","1992","USD","13.067151","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","1993","1993","USD","14.600244","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","1994","1994","USD","11.381939","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","1995","1995","USD","14.786354","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","1996","1996","USD","16.498931","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","1997","1997","USD","15.641118","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","1998","1998","USD","16.11341","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","1999","1999","USD","15.779422","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","2000","2000","USD","16.410694","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","2001","2001","USD","17.868646","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","2002","2002","USD","19.75291","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","2003","2003","USD","20.892501","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","2004","2004","USD","24.368517","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","2005","2005","USD","25.714732","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","2006","2006","USD","28.31739","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","2007","2007","USD","37.123956","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","2008","2008","USD","48.815663","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","2009","2009","USD","50.884841","Fc","Calculated data"
"QV","Value of Agricultural Production","41","China, mainland","57","Gross Production Value (current million US$)","711","Anise, badian, fennel, coriander","2010","2010","USD","59.652466","Fc","Calculated data"
