Year,Value
1960,-0.42
1961,-0.58
1962,-0.8
1963,-0.85
1964,-0.55
1965,-0.49
1966,0.11
1967,-0.62
1968,-0.56
1969,-0.19
1970,-0.43
1971,-0.93
1972,-0.41
1973,-0.16
1974,-0.63
1975,-0.45
1976,-0.65
1977,-0.39
1978,-0.25
1979,-0.09
1980,-0.12
1981,-0.13
1982,-0.26
1983,-0.19
1984,-0.46
1985,-0.27
1986,-0.43
1987,0.15
1988,-0.1
1989,-0.32
1990,-0.08
1991,-0.1
1992,-0.24
1993,-0.21
1994,-0.07
1995,-0.13
1996,-0.31
1997,0.06
1998,0.77
1999,0.07
2000,0.01
2001,0.41
2002,0.37
2003,0.24
2004,0.13
2005,0.2
2006,0.34
2007,0.08
2008,-0.11
2009,0.12
2010,0.46
2011,-0.14
2012,0.39
2013,0.27
2014,0.25
2015,0.58
