Year,Value
1961,-1.24
1962,-1.5
1963,-0.71
1964,-1.19
1965,-2.02
1966,-2.02
1967,-1.65
1968,-0.7
1969,-1.23
1970,-1.35
1971,-0.8
1972,-2.68
1973,0.14
1974,-1.25
1975,-0.94
1976,0.13
1977,0.41
1978,-1.28
1979,-1.42
1980,0.11
1981,1.69
1982,-2.66
1983,-0.25
1984,-0.04
1985,-1.45
1986,0.16
1987,2.21
1988,-0.19
1989,-1.54
1990,-1.26
1991,-0.05
1992,-0.02
1993,0.33
1994,-0.49
1995,-0.56
1996,-1.84
1997,0.5
1998,1.93
1999,1.48
2000,-0.31
2001,1.59
2002,-1.05
2003,0.05
2004,-1.52
2005,1.09
2006,1.8
2007,-0.11
2008,-0.89
2009,-0.58
2010,1.97
2011,0.79
2012,0.98
2013,-0.42
2014,-1.06
2015,1.25
