Year,Value
1961,-0.81
1962,-1.03
1963,-0.43
1964,-0.76
1965,-0.5
1966,-0.44
1967,-1.63
1968,-0.95
1969,-0.58
1970,-1.2
1971,-0.45
1972,-0.45
1973,-0.21
1974,-0.91
1975,-0.66
1976,-1.22
1977,-0.9
1978,-0.33
1979,-0.35
1980,-0.48
1981,-0.48
1982,-0.48
1983,-0.98
1984,-1.05
1985,-0.65
1986,-0.71
1987,0.26
1988,-0.23
1989,-0.38
1990,0.12
1991,-0.15
1992,-0.65
1993,-0.57
1994,0.13
1995,-0.54
1996,-0.53
1997,0.05
1998,0.9
1999,0.66
2000,0.04
2001,0.32
2002,0.54
2003,0.33
2004,0.33
2005,0.28
2006,1.04
2007,0.72
2008,0.08
2009,0.84
2010,0.76
2011,0.13
2012,-0.27
2013,0.82
2014,0.23
2015,0.86
