Year,Value
1951,-0.29
1952,0.06
1953,-0.11
1954,-0.31
1955,-0.42
1956,-0.43
1957,-0.23
1958,0.18
1959,0
1960,0.26
1961,0
1962,-0.04
1963,0.05
1964,-0.03
1965,-0.44
1966,-0.16
1967,-0.45
1968,-0.31
1969,0.27
1970,-0.14
1971,-0.43
1972,-0.45
1973,-0.06
1974,-0.64
1975,-0.47
1976,-0.58
1977,-0.18
1978,-0.02
1979,-0.11
1980,0.1
1981,0.12
1982,-0.21
1983,0.13
1984,-0.27
1985,-0.35
1986,-0.35
1987,0.22
1988,0.04
1989,-0.38
1990,-0.22
1991,-0.22
1992,-0.24
1993,-0.11
1994,-0.08
1995,0.19
1996,-0.26
1997,-0.08
1998,0.41
1999,0.08
2000,-0.2
2001,-0.03
2002,0.05
2003,0.24
2004,0.04
2005,0.39
2006,0.26
2007,0.32
2008,0.02
2009,0.01
2010,0.49
2011,0.22
2012,0.22
2013,0.24
2014,0.33
2015,0.48
