Year,Value
1961,-0.7
1962,0.27
1963,0.44
1964,-0.81
1965,-0.42
1966,0.17
1967,-0.96
1968,-0.48
1969,0.1
1970,-0.36
1971,-0.33
1972,-0.35
1973,-0.48
1974,-0.45
1975,-0.78
1976,-0.56
1977,-0.56
1978,-0.48
1979,0.1
1980,-0.3
1981,-0.57
1982,-0.89
1983,-1.15
1984,-0.57
1985,-0.25
1986,-0.49
1987,-0.44
1988,-0.1
1989,-0.43
1990,-0.28
1991,-0.23
1992,-0.84
1993,-0.22
1994,0.18
1995,-0.11
1996,0.11
1997,-0.32
1998,0.53
1999,0.6
2000,-0.18
2001,0.46
2002,0.61
2003,0.4
2004,0.25
2005,0.12
2006,0.26
2007,0.33
2008,0.65
2009,0.56
2010,2
2011,0.13
2012,0.63
2013,0.59
2014,1.01
2015,0.78
