Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","1991","1991","USD","6.251319","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","1992","1992","USD","4.290681","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","1993","1993","USD","3.270323","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","1994","1994","USD","3.512515","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","1995","1995","USD","2.462071","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","1996","1996","USD","2.065708","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","1997","1997","USD","2.672506","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","1998","1998","USD","1.542177","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","1999","1999","USD","1.703339","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","2000","2000","USD","1.932631","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","2001","2001","USD","1.447892","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","2002","2002","USD","1.640602","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","2003","2003","USD","1.729125","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","2004","2004","USD","2.128282","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","2005","2005","USD","1.833555","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","2006","2006","USD","1.52392","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","2007","2007","USD","1.848479","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","2008","2008","USD","1.322429","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","2009","2009","USD","1.246659","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","2010","2010","USD","0.913098","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","2011","2011","USD","0.931478","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","2012","2012","USD","1.474789","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","2013","2013","USD","1.072112","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","2014","2014","USD","1.913019","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","221","Almonds, with shell","2015","2015","USD","1.078632","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","515","Apples","1991","1991","USD","925.430344","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","515","Apples","1992","1992","USD","676.097877","Fc","Calculated data"
"QV","Value of Agricultural Production","68","France","57","Gross Production Value (current million US$)","515","Apples","1993","1993","USD","650.435403","Fc","Calculated data"
