Year,Value
1961,0.13
1962,-1.65
1963,-2.06
1964,-0.82
1965,-1.31
1966,-0.49
1967,-0.63
1968,-1.1
1969,-0.94
1970,-0.91
1971,-0.98
1972,-1.23
1973,-0.94
1974,-0.55
1975,-0.75
1976,-0.24
1977,-0.61
1978,-1.19
1979,-1.14
1980,-1.38
1981,-0.65
1982,0.13
1983,-0.17
1984,-0.78
1985,-1.4
1986,-1.06
1987,-1.1
1988,0.02
1989,0.4
1990,0.58
1991,-0.56
1992,0
1993,-0.5
1994,0.82
1995,0.42
1996,-0.87
1997,0.48
1998,-0.04
1999,0.54
2000,0.6
2001,0.13
2002,0.68
2003,0.88
2004,0.06
2005,0.29
2006,0.72
2007,0.52
2008,0.07
2009,0.41
2010,-0.65
2011,1.29
2012,0.3
2013,-0.17
2014,1.2
2015,1.04
