Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,1990,1990,gigagrams,15000412.74,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,1991,1991,gigagrams,14960812.03,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,1992,1992,gigagrams,14963849.24,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,1993,1993,gigagrams,15058724.32,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,1994,1994,gigagrams,15175051.01,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,1995,1995,gigagrams,15614063.09,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,1996,1996,gigagrams,16075090.17,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,1997,1997,gigagrams,16233902.39,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,1998,1998,gigagrams,16496794.6,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,1999,1999,gigagrams,16412740.3,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,2000,2000,gigagrams,16896137.35,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,2001,2001,gigagrams,16919038.18,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,2002,2002,gigagrams,17333736.29,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,2003,2003,gigagrams,18282450.29,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,2004,2004,gigagrams,19343651.92,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,2005,2005,gigagrams,20013905.29,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,2006,2006,gigagrams,20845974.02,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,2007,2007,gigagrams,21695119.86,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,2008,2008,gigagrams,22409320.42,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,2009,2009,gigagrams,22135741.28,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7231,Emissions (CO2eq),6814,Energy,2010,2010,gigagrams,23237500.86,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,1990,1990,gigagrams,13083416.29,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,1991,1991,gigagrams,13057283.17,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,1992,1992,gigagrams,13056191.04,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,1993,1993,gigagrams,13160999.07,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,1994,1994,gigagrams,13279685.26,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,1995,1995,gigagrams,13665798.87,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,1996,1996,gigagrams,14079656.16,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,1997,1997,gigagrams,14225315.88,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,1998,1998,gigagrams,14497993.98,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,1999,1999,gigagrams,14418285.77,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,2000,2000,gigagrams,14818986.63,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,2001,2001,gigagrams,14812672.58,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,2002,2002,gigagrams,15180702.15,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,2003,2003,gigagrams,16000183.63,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,2004,2004,gigagrams,16950926.41,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,2005,2005,gigagrams,17531858.16,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,2006,2006,gigagrams,18272711,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,2007,2007,gigagrams,19051891.65,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,2008,2008,gigagrams,19657182.18,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,2009,2009,gigagrams,19359073.99,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7194,Emissions (CO2eq) from CO2,6814,Energy,2010,2010,gigagrams,20327725.26,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7244,Emissions (CO2eq) from CH4,6814,Energy,1990,1990,gigagrams,1809279.224,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7244,Emissions (CO2eq) from CH4,6814,Energy,1991,1991,gigagrams,1792977.037,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7244,Emissions (CO2eq) from CH4,6814,Energy,1992,1992,gigagrams,1794222.075,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7244,Emissions (CO2eq) from CH4,6814,Energy,1993,1993,gigagrams,1781462.954,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7244,Emissions (CO2eq) from CH4,6814,Energy,1994,1994,gigagrams,1773342.543,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7244,Emissions (CO2eq) from CH4,6814,Energy,1995,1995,gigagrams,1822777.822,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7244,Emissions (CO2eq) from CH4,6814,Energy,1996,1996,gigagrams,1866139.963,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7244,Emissions (CO2eq) from CH4,6814,Energy,1997,1997,gigagrams,1876414.909,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7244,Emissions (CO2eq) from CH4,6814,Energy,1998,1998,gigagrams,1863079.544,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7244,Emissions (CO2eq) from CH4,6814,Energy,1999,1999,gigagrams,1856161.035,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7244,Emissions (CO2eq) from CH4,6814,Energy,2000,2000,gigagrams,1922620.041,A,"Aggregate, may include official, semi-official, estimated or calculated data"
EM,Emissions by sector,5000,World,7244,Emissions (CO2eq) from CH4,6814,Energy,2001,2001,gigagrams,1952803.746,A,"Aggregate, may include official, semi-official, estimated or calculated data"
