Domain Code,Domain,Area Code,Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1961","1961","°C","0.23","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1962","1962","°C","0.055","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1963","1963","°C","0.165","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1964","1964","°C","-0.252","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1965","1965","°C","-0.215","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1966","1966","°C","0.207","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1967","1967","°C","-0.115","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1968","1968","°C","-0.098","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1969","1969","°C","-0.111","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1970","1970","°C","0.15","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1971","1971","°C","-0.101","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1972","1972","°C","-0.198","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1973","1973","°C","0.251","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1974","1974","°C","-0.204","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1975","1975","°C","0.083","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1976","1976","°C","-0.327","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1977","1977","°C","0.254","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1978","1978","°C","0.003","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1979","1979","°C","0.208","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1980","1980","°C","0.307","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1981","1981","°C","0.456","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1982","1982","°C","0.09","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1983","1983","°C","0.479","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1984","1984","°C","0.129","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1985","1985","°C","-0.04","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1986","1986","°C","0.242","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1987","1987","°C","0.405","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1988","1988","°C","0.544","Fc","Calculated data"
"ET","Temperature change","5000","World","7271","Temperature change","7020","Meteorological year","1989","1989","°C","0.39","Fc","Calculated data"
