Year,Value
1961,-0.87
1962,-0.84
1963,-0.47
1964,-0.2
1965,-0.21
1966,0.05
1967,-0.26
1968,-0.68
1969,0.1
1970,-0.34
1971,-0.82
1972,-0.24
1973,-0.04
1974,-0.2
1975,-0.71
1976,-0.02
1977,0.04
1978,-0.54
1979,0.1
1980,0.22
1981,-0.29
1982,-0.23
1983,-0.75
1984,-0.43
1985,-0.11
1986,-0.05
1987,0.1
1988,0.22
1989,-0.36
1990,-0.55
1991,-0.09
1992,0.06
1993,-0.13
1994,-0.44
1995,0
1996,0.09
1997,-0.68
1998,0.4
1999,-0.11
2000,0.13
2001,0.09
2002,0.61
2003,0.17
2004,0.38
2005,-0.04
2006,0.32
2007,0.13
2008,-0.1
2009,0.84
2010,0.81
2011,-0.07
2012,0.08
2013,-0.21
2014,0.08
2015,0.22
