Year,Value
1961,-0.48
1962,-0.51
1963,-0.64
1964,-0.43
1965,-0.59
1966,-0.45
1967,-0.68
1968,-0.56
1969,-0.36
1970,-0.37
1971,-0.59
1972,-0.37
1973,-0.06
1974,-0.46
1975,-0.25
1976,-0.37
1977,-0.35
1978,-0.14
1979,-0.15
1980,-0.07
1981,-0.15
1982,-0.38
1983,0.06
1984,-0.34
1985,-0.17
1986,-0.23
1987,-0.04
1988,-0.01
1989,-0.07
1990,0.01
1991,-0.01
1992,0.06
1993,-0.09
1994,-0.27
1995,-0.1
1996,-0.04
1997,-0.06
1998,0.58
1999,-0.09
2000,-0.03
2001,0.15
2002,0.2
2003,0.09
2004,0.13
2005,0.31
2006,0.13
2007,0.06
2008,-0.25
2009,0.21
2010,0.33
2011,-0.08
2012,0.08
2013,0.42
2014,0.34
2015,0.35
