Year,Value
1961,-1.08
1962,-0.98
1963,-0.3
1964,-1.59
1965,-0.93
1966,-0.42
1967,-1.48
1968,-1.07
1969,-0.94
1970,-0.25
1971,-0.84
1972,-2.17
1973,-0.73
1974,-1.68
1975,-1.35
1976,-1.33
1977,-0.49
1978,-0.37
1979,-0.6
1980,-0.31
1981,-0.31
1982,-1.22
1983,-0.76
1984,-1.06
1985,-0.33
1986,-0.98
1987,-0.13
1988,0.01
1989,-0.66
1990,-0.04
1991,-0.39
1992,-1.64
1993,-0.73
1994,0.03
1995,-0.14
1996,-0.33
1997,0.07
1998,0.57
1999,0.59
2000,0.53
2001,1.05
2002,0.89
2003,0.3
2004,0.6
2005,0.46
2006,0.61
2007,0.26
2008,0.48
2009,0.59
2010,1.7
2011,0.62
2012,0.3
2013,0.99
2014,0.49
2015,1.17
