Year,Value
1960,-0.3
1961,-0.18
1962,-0.76
1963,-1.12
1964,-0.46
1965,-0.85
1966,-0.35
1967,-0.54
1968,-0.35
1969,-0.53
1970,-0.52
1971,-0.19
1972,-0.85
1973,-0.26
1974,-0.59
1975,-0.12
1976,-0.26
1977,-0.48
1978,-0.38
1979,-0.76
1980,-0.47
1981,-0.33
1982,-0.24
1983,-0.16
1984,-0.24
1985,-0.64
1986,-1.11
1987,-0.55
1988,-0.39
1989,0.37
1990,0.19
1991,-0.38
1992,-0.36
1993,-0.47
1994,-0.37
1995,0.46
1996,-0.25
1997,0.51
1998,0.25
1999,0.26
2000,0.09
2001,0.23
2002,0.31
2003,0.48
2004,0.28
2005,0.46
2006,0.55
2007,0.67
2008,0.24
2009,0.24
2010,-0.1
2011,0.24
2012,0.09
2013,0.01
2014,0.62
2015,-0.12
