Year,Value
1951,-0.26
1952,0.06
1953,-0.05
1954,-0.25
1955,-0.35
1956,-0.36
1957,-0.14
1958,0.29
1959,0.06
1960,0.26
1961,0
1962,0.04
1963,0.1
1964,0.02
1965,-0.4
1966,-0.15
1967,-0.37
1968,-0.34
1969,0.23
1970,-0.17
1971,-0.44
1972,-0.39
1973,-0.12
1974,-0.5
1975,-0.42
1976,-0.57
1977,-0.21
1978,-0.05
1979,-0.16
1980,0.07
1981,0.04
1982,-0.16
1983,0.15
1984,-0.25
1985,-0.29
1986,-0.32
1987,0.2
1988,0.03
1989,-0.33
1990,-0.16
1991,-0.16
1992,-0.15
1993,-0.08
1994,-0.02
1995,0.23
1996,-0.24
1997,-0.07
1998,0.39
1999,0
2000,-0.18
2001,-0.09
2002,0.07
2003,0.24
2004,0.04
2005,0.32
2006,0.2
2007,0.25
2008,-0.01
2009,-0.01
2010,0.36
2011,0.15
2012,0.16
2013,0.2
2014,0.3
2015,0.46
