Year,Value
1961,0.3
1962,-0.13
1963,-0.58
1964,-0.09
1965,-0.8
1966,-0.33
1967,-0.07
1968,-0.47
1969,-0.61
1970,-0.79
1971,-0.6
1972,0.02
1973,0.1
1974,-0.69
1975,0.06
1976,-0.7
1977,-0.28
1978,0.17
1979,0.33
1980,-0.62
1981,-0.95
1982,-0.34
1983,-0.46
1984,-0.79
1985,-0.33
1986,-1.03
1987,-0.36
1988,-0.57
1989,-0.09
1990,0.58
1991,0.1
1992,-0.15
1993,-0.55
1994,0.45
1995,-0.2
1996,-0.62
1997,0.12
1998,1.06
1999,0.5
2000,0.42
2001,0.43
2002,0.17
2003,-0.02
2004,0.66
2005,0.15
2006,0
2007,0.54
2008,0.33
2009,0.18
2010,0.74
2011,0.15
2012,0.25
2013,0.42
2014,0.1
2015,0.28
