Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",1991,1991,USD,0.001,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",1992,1992,USD,0.000611,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",1993,1993,USD,0.000831,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",1994,1994,USD,0.001187,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",1995,1995,USD,0.000985,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",1996,1996,USD,0.001186,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",1997,1997,USD,0.000918,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",1998,1998,USD,0.005788,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",1999,1999,USD,0.014421,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2000,2000,USD,0.016355,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2001,2001,USD,0.014275,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2002,2002,USD,0.019787,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2003,2003,USD,0.027178,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2004,2004,USD,0.015377,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2005,2005,USD,0.017685,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2006,2006,USD,0.096295,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2007,2007,USD,0.152912,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2008,2008,USD,0.211592,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2009,2009,USD,0.249646,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2010,2010,USD,0.156079,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2011,2011,USD,0.170123,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2012,2012,USD,0.140777,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2013,2013,USD,0.150254,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2014,2014,USD,0.12975,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2015,2015,USD,0.103291,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),515,Apples,1991,1991,USD,1.214,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),515,Apples,1992,1992,USD,1.306787,Fc,Calculated data
QV,Value of Agricultural Production,129,Madagascar,57,Gross Production Value (current million US$),515,Apples,1993,1993,USD,1.397164,Fc,Calculated data
