Year,Value
1960,-0.73
1961,-0.07
1962,-0.56
1963,-0.65
1964,-0.75
1965,-0.81
1966,-0.41
1967,-0.3
1968,-0.66
1969,-0.02
1970,-0.27
1971,-0.53
1972,-0.25
1973,-0.2
1974,-0.56
1975,-0.51
1976,-0.33
1977,-0.02
1978,-0.11
1979,-0.18
1980,-0.24
1981,-0.17
1982,-0.07
1983,0.02
1984,-0.45
1985,-0.39
1986,-0.38
1987,0.17
1988,-0.03
1989,-0.27
1990,-0.19
1991,-0.1
1992,-0.13
1993,-0.15
1994,-0.02
1995,-0.03
1996,-0.15
1997,0.2
1998,0.26
1999,0.01
2000,-0.12
2001,0.07
2002,0.11
2003,0.27
2004,0.02
2005,0.25
2006,0.17
2007,0.14
2008,0.1
2009,0.38
2010,0.47
2011,0.5
2012,0.27
2013,0.29
2014,0.46
2015,0.65
