Year,Value
1961,-0.51
1962,-0.25
1963,-0.4
1964,-0.51
1965,-0.53
1966,-0.86
1967,-0.69
1968,-0.77
1969,-0.02
1970,-0.56
1971,-0.42
1972,0
1973,-0.48
1974,-0.47
1975,-0.58
1976,-0.69
1977,-0.39
1978,-0.29
1979,-0.25
1980,-0.06
1981,-0.22
1982,0.28
1983,-0.55
1984,-0.57
1985,-0.38
1986,-0.37
1987,-0.6
1988,-0.26
1989,-0.04
1990,-0.11
1991,-0.09
1992,-0.61
1993,-0.07
1994,0.43
1995,0.39
1996,-0.02
1997,-0.35
1998,0.37
1999,0.02
2000,0.07
2001,0.04
2002,0.39
2003,0.52
2004,0.05
2005,0.48
2006,0.44
2007,0.33
2008,0.02
2009,0.65
2010,-0.27
2011,0.9
2012,0.59
2013,0.41
2014,0.53
2015,0.74
