Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2001,2001,USD,0.668844,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2002,2002,USD,2.640525,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2003,2003,USD,2.973538,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2004,2004,USD,4.078323,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2005,2005,USD,3.649125,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2006,2006,USD,4.965674,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2007,2007,USD,5.697863,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2008,2008,USD,5.677553,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2009,2009,USD,4.080691,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2010,2010,USD,5.242461,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2011,2011,USD,7.426575,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2012,2012,USD,7.818364,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2013,2013,USD,7.937131,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2014,2014,USD,7.707716,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),711,"Anise, badian, fennel, coriander",2015,2015,USD,7.17047,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),515,Apples,1991,1991,USD,127.339749,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),515,Apples,1992,1992,USD,125.066519,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),515,Apples,1993,1993,USD,99.32389,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),515,Apples,1994,1994,USD,110.288562,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),515,Apples,1995,1995,USD,137.458844,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),515,Apples,1996,1996,USD,128.672242,Fc,Calculated data
QV,Value of Agricultural Production,33,Canada,57,Gross Production Value (current million US$),515,Apples,1997,1997,USD,126.927499,Fc,Calculated data
