Year,Value
1961,0.39
1962,-0.87
1963,-0.47
1964,-0.53
1965,-0.78
1966,-0.87
1967,-0.29
1968,-0.56
1969,-0.39
1970,-0.82
1971,-0.15
1972,0.17
1973,-0.05
1974,0.27
1975,0.05
1976,-0.58
1977,-0.57
1978,-0.73
1979,-1.25
1980,-0.55
1981,-0.94
1982,-0.23
1983,-0.35
1984,-0.11
1985,-0.99
1986,-0.75
1987,-0.78
1988,0.01
1989,0.23
1990,0.64
1991,0.17
1992,0.1
1993,-0.62
1994,-0.37
1995,-0.37
1996,-0.76
1997,0.02
1998,-0.02
1999,0.27
2000,0.35
2001,-0.21
2002,0.76
2003,0.76
2004,0.59
2005,0.4
2006,0.89
2007,0.44
2008,0.81
2009,0.58
2010,-0.51
2011,0.6
2012,-0.11
2013,0.27
2014,1.44
2015,0.79
