Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","1991","1991","USD","0.85159","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","1992","1992","USD","0.765785","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","1993","1993","USD","0.620758","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","1994","1994","USD","0.587779","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","1995","1995","USD","0.926685","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","1996","1996","USD","1.865055","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","1997","1997","USD","0.699181","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","1998","1998","USD","0.874681","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","1999","1999","USD","0.582582","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","2000","2000","USD","0.489302","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","2001","2001","USD","0.480907","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","2002","2002","USD","0.512308","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","2003","2003","USD","0.743602","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","2004","2004","USD","0.448753","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","2005","2005","USD","0.928294","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","2006","2006","USD","0.996485","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","2007","2007","USD","0.656299","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","2008","2008","USD","0.393614","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","2009","2009","USD","0.194732","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","2010","2010","USD","0.192266","Fc","Calculated data"
"QV","Value of Agricultural Production","179","Qatar","57","Gross Production Value (current million US$)","44","Barley","2011","2011","USD","0.151258","Fc","Calculated data"
