Year,Value
1960,-0.16
1961,-0.72
1962,-0.26
1963,-0.22
1964,-0.71
1965,-0.52
1966,-0.1
1967,-0.81
1968,-0.65
1969,-0.04
1970,-0.16
1971,-0.51
1972,-0.92
1973,-0.32
1974,-0.49
1975,-0.83
1976,-0.8
1977,-0.3
1978,-0.44
1979,0.13
1980,-0.14
1981,-0.21
1982,-0.63
1983,-0.77
1984,-0.57
1985,-0.2
1986,-0.15
1987,0.09
1988,0.18
1989,-0.49
1990,-0.15
1991,-0.54
1992,-0.97
1993,-0.3
1994,0.15
1995,-0.16
1996,0.07
1997,-0.26
1998,0.6
1999,0.69
2000,0.14
2001,0.62
2002,0.31
2003,0.3
2004,0.1
2005,0.08
2006,0.25
2007,0.12
2008,0.14
2009,0.45
2010,1.1
2011,0.54
2012,0.52
2013,0.3
2014,0.59
2015,0.81
