Domain Code,Domain,Area Code,Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","1961","1961","°C","0.039","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","1962","1962","°C","-0.003","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","1963","1963","°C","0.076","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","1964","1964","°C","-0.11","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","1965","1965","°C","-0.177","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","1966","1966","°C","0.155","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","1967","1967","°C","-0.194","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","1968","1968","°C","-0.184","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","1969","1969","°C","0.375","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","1970","1970","°C","0.243","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","1971","1971","°C","-0.214","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","1972","1972","°C","-0.01","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","1973","1973","°C","0.332","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","1974","1974","°C","-0.283","Fc","Calculated data"
"ET","Temperature change","5100","Africa","7271","Temperature change","7020","Meteorological year","1975","1975","°C","-0.255","Fc","Calculated data"
