Year,Value
1961,-1.25
1962,0
1963,0.56
1964,-0.79
1965,-2.15
1966,-3.14
1967,1.34
1968,-0.94
1969,-2.98
1970,-0.94
1971,0.35
1972,-1.75
1973,0.37
1974,-2.91
1975,1.23
1976,-1.73
1977,-2.16
1978,0.17
1979,-2.18
1980,-1.4
1981,0.3
1982,-0.85
1983,0.79
1984,-1.16
1985,-1.72
1986,0.47
1987,-2.38
1988,0.31
1989,0.71
1990,1.18
1991,-0.26
1992,1.01
1993,1.66
1994,-0.87
1995,1.36
1996,-0.62
1997,0.85
1998,-0.79
1999,-0.48
2000,-1.72
2001,0.03
2002,0.9
2003,1.53
2004,-0.11
2005,0.75
2006,-1.21
2007,1.73
2008,1.13
2009,-1.33
2010,-1.21
2011,1.83
2012,-0.67
2013,0.71
2014,0.3
2015,2.1
