Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","216","Thailand","57","Gross Production Value (current million US$)","226","Areca nuts","1991","1991","USD","15.568786","Fc","Calculated data"
"QV","Value of Agricultural Production","216","Thailand","57","Gross Production Value (current million US$)","226","Areca nuts","1992","1992","USD","16.841728","Fc","Calculated data"
"QV","Value of Agricultural Production","216","Thailand","57","Gross Production Value (current million US$)","226","Areca nuts","1993","1993","USD","14.52392","Fc","Calculated data"
"QV","Value of Agricultural Production","216","Thailand","57","Gross Production Value (current million US$)","226","Areca nuts","1994","1994","USD","19.189406","Fc","Calculated data"
"QV","Value of Agricultural Production","216","Thailand","57","Gross Production Value (current million US$)","226","Areca nuts","1995","1995","USD","24.060928","Fc","Calculated data"
"QV","Value of Agricultural Production","216","Thailand","57","Gross Production Value (current million US$)","226","Areca nuts","1996","1996","USD","19.69884","Fc","Calculated data"
"QV","Value of Agricultural Production","216","Thailand","57","Gross Production Value (current million US$)","226","Areca nuts","1997","1997","USD","16.97673","Fc","Calculated data"
"QV","Value of Agricultural Production","216","Thailand","57","Gross Production Value (current million US$)","226","Areca nuts","1998","1998","USD","9.771169","Fc","Calculated data"
"QV","Value of Agricultural Production","216","Thailand","57","Gross Production Value (current million US$)","226","Areca nuts","1999","1999","USD","11.817835","Fc","Calculated data"
"QV","Value of Agricultural Production","216","Thailand","57","Gross Production Value (current million US$)","226","Areca nuts","2000","2000","USD","11.054312","Fc","Calculated data"
"QV","Value of Agricultural Production","216","Thailand","57","Gross Production Value (current million US$)","226","Areca nuts","2001","2001","USD","10.695366","Fc","Calculated data"
"QV","Value of Agricultural Production","216","Thailand","57","Gross Production Value (current million US$)","226","Areca nuts","2002","2002","USD","13.584232","Fc","Calculated data"
"QV","Value of Agricultural Production","216","Thailand","57","Gross Production Value (current million US$)","226","Areca nuts","2003","2003","USD","16.713242","Fc","Calculated data"
