Year,Value
1960,-0.29
1961,-0.39
1962,-0.89
1963,-0.81
1964,-0.64
1965,-0.4
1966,0.07
1967,-0.8
1968,-0.44
1969,-0.18
1970,-0.33
1971,-1.13
1972,-0.33
1973,-0.23
1974,-0.74
1975,-0.59
1976,-0.84
1977,-0.41
1978,-0.28
1979,0.08
1980,0.08
1981,-0.32
1982,-0.27
1983,-0.02
1984,-0.29
1985,-0.22
1986,-0.37
1987,0.19
1988,-0.05
1989,-0.15
1990,0.05
1991,0.26
1992,-0.2
1993,-0.21
1994,0.03
1995,0.05
1996,-0.35
1997,0.03
1998,0.93
1999,-0.39
2000,-0.29
2001,0.12
2002,0.23
2003,0.14
2004,-0.15
2005,0.4
2006,0.27
2007,0.16
2008,-0.54
2009,0.1
2010,0.87
2011,-0.56
2012,0.72
2013,0.2
2014,0.36
2015,0.99
