Year,Value
1960,-0.58
1961,-0.15
1962,-0.12
1963,0.24
1964,-0.35
1965,-0.33
1966,-0.53
1967,-0.26
1968,-0.7
1969,-0.52
1970,-0.41
1971,-0.36
1972,-0.65
1973,0.27
1974,0.24
1975,-0.52
1976,-0.55
1977,0.53
1978,-0.98
1979,-1.14
1980,0.37
1981,1.1
1982,-0.68
1983,-0.14
1984,-0.05
1985,-0.72
1986,1.3
1987,1.31
1988,0.61
1989,-0.18
1990,1.49
1991,1.14
1992,0.58
1993,-0.76
1994,0.85
1995,0.63
1996,-0.14
1997,0.18
1998,2.21
1999,1.86
2000,1.25
2001,1.67
2002,1.19
2003,1.24
2004,1.08
2005,1.62
2006,2.23
2007,1.63
2008,0.27
2009,0.37
2010,0.96
2011,1.16
2012,3.26
2013,0.41
2014,0.52
2015,2.38
