Year,Value
1951,-0.37
1952,-0.18
1953,-0.25
1954,-0.47
1955,-0.97
1956,-0.96
1957,-0.52
1958,-0.07
1959,-0.72
1960,-0.05
1961,-0.13
1962,0.13
1963,-0.41
1964,-0.86
1965,-0.14
1966,-0.4
1967,-0.03
1968,0.15
1969,0.09
1970,0.13
1971,-0.28
1972,-0.15
1973,-0.43
1974,-0.32
1975,0.08
1976,-0.82
1977,0.18
1978,-0.08
1979,-0.01
1980,0.46
1981,0.2
1982,0.28
1983,-0.19
1984,-0.77
1985,-0.03
1986,-0.2
1987,0.03
1988,-0.4
1989,0.49
1990,0.01
1991,-0.18
1992,-0.4
1993,-0.09
1994,0.29
1995,-0.18
1996,0.14
1997,0.2
1998,0.1
1999,-0.15
2000,-0.36
2001,0.22
2002,-0.09
2003,0.17
2004,0.24
2005,-0.2
2006,0.25
2007,-0.71
2008,0.54
2009,0.71
2010,0.07
2011,0.19
2012,0.28
2013,0.22
2014,0.53
2015,0.7
