Year,Value
1951,-0.8
1952,-0.86
1953,-0.64
1954,-0.8
1955,-0.98
1956,-1.13
1957,-0.63
1958,-0.43
1959,-0.45
1960,-0.77
1961,-0.48
1962,-0.82
1963,-0.44
1964,-0.71
1965,-0.44
1966,-0.5
1967,-0.55
1968,-0.81
1969,-0.18
1970,-0.5
1971,-0.8
1972,-0.37
1973,-0.44
1974,-0.83
1975,-0.76
1976,-0.53
1977,-0.24
1978,-0.45
1979,-0.5
1980,-0.29
1981,-0.5
1982,-0.3
1983,-0.16
1984,-0.36
1985,-0.54
1986,-0.23
1987,0.08
1988,-0.21
1989,-0.57
1990,-0.22
1991,-0.09
1992,-0.13
1993,-0.11
1994,-0.05
1995,0.1
1996,-0.21
1997,0.19
1998,0.6
1999,-0.01
2000,-0.11
2001,0.03
2002,0.61
2003,0.32
2004,0.07
2005,0.31
2006,0.13
2007,0.33
2008,0.08
2009,0.35
2010,0.58
2011,0.19
2012,0.31
2013,0.28
2014,0.5
2015,0.89
