Year,Value
1961,-0.42
1962,-0.51
1963,-0.68
1964,-0.8
1965,-0.77
1966,-0.55
1967,-0.73
1968,-0.91
1969,-0.49
1970,-0.27
1971,-0.82
1972,-0.51
1973,-0.19
1974,-0.8
1975,-0.67
1976,-0.93
1977,-0.33
1978,-0.53
1979,-0.29
1980,-0.35
1981,-0.61
1982,-0.43
1983,0.14
1984,-0.28
1985,-0.4
1986,-0.33
1987,0.27
1988,-0.18
1989,-0.47
1990,0.03
1991,-0.23
1992,-0.28
1993,-0.22
1994,-0.45
1995,0.14
1996,-0.38
1997,-0.1
1998,0.3
1999,-0.07
2000,-0.15
2001,-0.01
2002,0.27
2003,0.53
2004,0.37
2005,0.72
2006,0.11
2007,0.35
2008,0.23
2009,0.37
2010,0.77
2011,0.3
2012,0.28
2013,0.42
2014,0.4
2015,1.11
