Year,Value
1961,-0.7
1962,-0.86
1963,-0.46
1964,-0.76
1965,-0.48
1966,-0.59
1967,-0.74
1968,-0.89
1969,-0.42
1970,-0.6
1971,-0.8
1972,-0.16
1973,-0.21
1974,-0.5
1975,-0.59
1976,-0.29
1977,-0.56
1978,-0.42
1979,-0.36
1980,-0.03
1981,-0.56
1982,-0.2
1983,-0.25
1984,-0.39
1985,-0.5
1986,-0.37
1987,-0.1
1988,-0.16
1989,-0.53
1990,-0.07
1991,-0.03
1992,-0.2
1993,-0.15
1994,-0.16
1995,0.08
1996,0.11
1997,0.19
1998,0.03
1999,-0.23
2000,0.16
2001,-0.04
2002,0.46
2003,0.35
2004,0.33
2005,0.35
2006,0.49
2007,0.33
2008,0.03
2009,0.83
2010,0.17
2011,0.66
2012,0.52
2013,0.48
2014,0.53
2015,0.81
